% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 40 Vpp range
% Acquisition rate: 5.0000000000e+01 Hz, Precision mode
% Output 1 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 3.9 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (off) - Square, 80.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-07-24 T 17:03:36 +0200
% Ch1,2,3=LVDT1,2,3. Ch4=Vin. Only LVDT1 is a actuator. Sine wave with 50% duty cycle, 6Vpp,T=1Hz
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
Time,LVDT1,LVDT2,LVDT3,Vin
3.5800000000e+00, 9.1481118070e-01, -1.3772993167e-03, 1.0085268819e+00, -4.8627975741e+00
3.6000000000e+00, 9.1531853058e-01, -9.7995968201e-04, 1.0082960051e+00, -4.3857989182e+00
3.6200000000e+00, 9.1559934621e-01, -4.5379226043e-04, 1.0082040887e+00, -3.8388377325e+00
3.6400000000e+00, 9.1597424954e-01, 2.2436299957e-05, 1.0077647714e+00, -3.2316436148e+00
3.6600000000e+00, 9.1613347490e-01, 6.4196767943e-04, 1.0074846796e+00, -2.5735590247e+00
3.6800000000e+00, 9.1661404597e-01, 1.2745265879e-03, 1.0073775643e+00, -1.8744815637e+00
3.7000000000e+00, 9.1666832734e-01, 1.9208367770e-03, 1.0069121920e+00, -1.1473036795e+00
3.7200000000e+00, 9.1727265993e-01, 2.6084008080e-03, 1.0067298066e+00, -4.0160157576e-01
3.7400000000e+00, 9.1756288433e-01, 3.2728047873e-03, 1.0064533335e+00, 3.5039700962e-01
3.7600000000e+00, 9.1787482127e-01, 3.9169437216e-03, 1.0060487564e+00, 1.0971582663e+00
3.7800000000e+00, 9.1815201814e-01, 4.5697676752e-03, 1.0058938735e+00, 1.8264763699e+00
3.8000000000e+00, 9.1853705400e-01, 5.1864040482e-03, 1.0055283789e+00, 2.5264084578e+00
3.8200000000e+00, 9.1873680944e-01, 5.7531015601e-03, 1.0052164420e+00, 3.1870204059e+00
3.8400000000e+00, 9.1919204921e-01, 6.3183515687e-03, 1.0050767579e+00, 3.7968952761e+00
3.8600000000e+00, 9.1894669741e-01, 6.8018176452e-03, 1.0048712125e+00, 4.3465591280e+00
3.8800000000e+00, 9.1952135619e-01, 7.2621236701e-03, 1.0046757995e+00, 4.8282545793e+00
3.9000000000e+00, 9.1936864460e-01, 7.6688720758e-03, 1.0045976344e+00, 5.2326172572e+00
3.9200000000e+00, 9.1937371086e-01, 7.9822565236e-03, 1.0044318953e+00, 5.5554251590e+00
3.9400000000e+00, 9.1929916444e-01, 8.2529396263e-03, 1.0043117525e+00, 5.7901626679e+00
